sample_idx,phase,wall_ms
4,_read_dynamic_to_numpy,126.300
5,_read_dynamic_to_numpy,84.579
6,_read_dynamic_to_numpy,63.026
7,_read_dynamic_to_numpy,78.074
8,_read_dynamic_to_numpy,100.420
9,_read_dynamic_to_numpy,173.226
10,_read_dynamic_to_numpy,80.506
11,_read_dynamic_to_numpy,69.899
12,_read_dynamic_to_numpy,66.716
13,_read_dynamic_to_numpy,176.568
14,_read_dynamic_to_numpy,109.771
15,_read_dynamic_to_numpy,121.059
16,_read_dynamic_to_numpy,87.297
17,_read_dynamic_to_numpy,166.264
18,_read_dynamic_to_numpy,70.362
19,_read_dynamic_to_numpy,148.503
20,_read_dynamic_to_numpy,70.618
21,_read_dynamic_to_numpy,176.844
22,_read_dynamic_to_numpy,65.347
23,_read_dynamic_to_numpy,76.701
24,_read_dynamic_to_numpy,104.534
25,_read_dynamic_to_numpy,131.317
26,_read_dynamic_to_numpy,128.378
27,_read_dynamic_to_numpy,66.971
28,_read_dynamic_to_numpy,169.820
29,_read_dynamic_to_numpy,69.300
30,_read_dynamic_to_numpy,135.692
31,_read_dynamic_to_numpy,77.638
32,_read_dynamic_to_numpy,91.341
33,_read_dynamic_to_numpy,66.818
34,_read_dynamic_to_numpy,62.216
35,_read_dynamic_to_numpy,137.021
36,_read_dynamic_to_numpy,90.166
37,_read_dynamic_to_numpy,130.721
38,_read_dynamic_to_numpy,67.228
39,_read_dynamic_to_numpy,163.119
40,_read_dynamic_to_numpy,74.831
41,_read_dynamic_to_numpy,66.982
42,_read_dynamic_to_numpy,75.324
43,_read_dynamic_to_numpy,171.957
44,_read_dynamic_to_numpy,66.173
45,_read_dynamic_to_numpy,255.219
46,_read_dynamic_to_numpy,124.883
47,_read_dynamic_to_numpy,85.277
48,_read_dynamic_to_numpy,136.169
49,_read_dynamic_to_numpy,119.799
50,_read_dynamic_to_numpy,68.859
51,_read_dynamic_to_numpy,103.828
52,_read_dynamic_to_numpy,58.771
53,_read_dynamic_to_numpy,161.319
54,_read_dynamic_to_numpy,96.190
55,_read_dynamic_to_numpy,130.629
56,_read_dynamic_to_numpy,70.603
57,_read_dynamic_to_numpy,161.850
58,_read_dynamic_to_numpy,60.496
59,_read_dynamic_to_numpy,90.691
60,_read_dynamic_to_numpy,127.589
61,_read_dynamic_to_numpy,68.562
62,_read_dynamic_to_numpy,58.563
63,_read_dynamic_to_numpy,121.135
64,_read_dynamic_to_numpy,68.282
65,_read_dynamic_to_numpy,83.701
66,_read_dynamic_to_numpy,66.334
67,_read_dynamic_to_numpy,176.227
68,_read_dynamic_to_numpy,62.279
69,_read_dynamic_to_numpy,187.998
70,_read_dynamic_to_numpy,55.534
71,_read_dynamic_to_numpy,150.775
72,_read_dynamic_to_numpy,73.879
73,_read_dynamic_to_numpy,123.249
74,_read_dynamic_to_numpy,71.727
75,_read_dynamic_to_numpy,59.796
76,_read_dynamic_to_numpy,141.585
77,_read_dynamic_to_numpy,95.517
78,_read_dynamic_to_numpy,78.491
79,_read_dynamic_to_numpy,122.261
80,_read_dynamic_to_numpy,61.132
81,_read_dynamic_to_numpy,97.428
82,_read_dynamic_to_numpy,70.441
83,_read_dynamic_to_numpy,104.463
84,_read_dynamic_to_numpy,98.613
85,_read_dynamic_to_numpy,82.173
86,_read_dynamic_to_numpy,61.880
87,_read_dynamic_to_numpy,61.138
88,_read_dynamic_to_numpy,69.597
89,_read_dynamic_to_numpy,145.479
90,_read_dynamic_to_numpy,204.159
91,_read_dynamic_to_numpy,167.809
92,_read_dynamic_to_numpy,59.230
93,_read_dynamic_to_numpy,113.655
94,_read_dynamic_to_numpy,87.454
95,_read_dynamic_to_numpy,82.769
96,_read_dynamic_to_numpy,132.999
97,_read_dynamic_to_numpy,71.956
98,_read_dynamic_to_numpy,61.477
99,_read_dynamic_to_numpy,57.251
0,__getitem__,3070.259
1,__getitem__,320.999
2,__getitem__,215.225
3,__getitem__,228.443
4,__getitem__,309.930
5,__getitem__,146.486
6,__getitem__,123.591
7,__getitem__,128.129
8,__getitem__,181.219
9,__getitem__,255.413
10,__getitem__,182.125
11,__getitem__,122.664
12,__getitem__,126.086
13,__getitem__,205.809
14,__getitem__,203.501
15,__getitem__,272.620
16,__getitem__,163.148
17,__getitem__,264.843
18,__getitem__,125.140
19,__getitem__,290.859
20,__getitem__,149.042
21,__getitem__,287.626
22,__getitem__,115.882
23,__getitem__,130.925
24,__getitem__,195.453
25,__getitem__,229.032
26,__getitem__,241.420
27,__getitem__,110.415
28,__getitem__,298.208
29,__getitem__,122.643
30,__getitem__,245.703
31,__getitem__,165.636
32,__getitem__,213.058
33,__getitem__,155.836
34,__getitem__,116.252
35,__getitem__,166.817
36,__getitem__,230.102
37,__getitem__,207.947
38,__getitem__,122.172
39,__getitem__,273.447
40,__getitem__,166.079
41,__getitem__,127.841
42,__getitem__,197.761
43,__getitem__,302.775
44,__getitem__,123.218
45,__getitem__,350.935
46,__getitem__,152.741
47,__getitem__,224.950
48,__getitem__,248.594
49,__getitem__,263.644
50,__getitem__,118.829
51,__getitem__,181.508
52,__getitem__,112.443
53,__getitem__,262.163
54,__getitem__,171.886
55,__getitem__,260.827
56,__getitem__,125.028
57,__getitem__,275.289
58,__getitem__,106.482
59,__getitem__,162.483
60,__getitem__,240.554
61,__getitem__,119.091
62,__getitem__,107.599
63,__getitem__,206.836
64,__getitem__,127.003
65,__getitem__,181.271
66,__getitem__,94.696
67,__getitem__,203.424
68,__getitem__,90.321
69,__getitem__,337.183
70,__getitem__,84.660
71,__getitem__,179.868
72,__getitem__,140.883
73,__getitem__,264.958
74,__getitem__,122.327
75,__getitem__,133.251
76,__getitem__,269.043
77,__getitem__,152.680
78,__getitem__,135.373
79,__getitem__,249.874
80,__getitem__,107.363
81,__getitem__,225.729
82,__getitem__,101.764
83,__getitem__,135.204
84,__getitem__,164.500
85,__getitem__,112.366
86,__getitem__,117.434
87,__getitem__,113.841
88,__getitem__,184.961
89,__getitem__,268.140
90,__getitem__,292.560
91,__getitem__,264.897
92,__getitem__,117.110
93,__getitem__,247.314
94,__getitem__,191.326
95,__getitem__,145.773
96,__getitem__,272.533
97,__getitem__,141.258
98,__getitem__,133.261
99,__getitem__,109.600
