store,pass,worker,sample,wall_ms
A,1,5,30,805.93
A,1,5,31,717.23
A,1,5,32,603.02
A,1,5,33,596.26
A,1,5,34,533.58
A,1,5,35,635.67
A,1,5,36,553.58
A,1,5,37,768.65
A,1,5,38,914.41
A,1,5,39,613.29
A,1,5,40,684.00
A,1,5,41,556.14
A,1,5,42,575.81
A,1,5,43,786.70
A,1,5,44,696.35
A,1,5,45,639.25
A,1,5,46,711.77
A,1,5,47,574.95
A,1,5,48,635.49
A,1,5,49,626.50
A,1,5,50,619.63
A,1,5,51,564.66
A,1,5,52,572.23
A,1,5,53,618.66
A,1,5,54,676.39
A,1,5,55,595.36
A,1,5,56,658.13
A,1,5,57,525.60
A,1,5,58,703.54
A,1,5,59,634.05
A,1,5,60,683.37
A,1,5,61,649.92
A,1,5,62,469.99
A,1,5,63,736.71
A,1,5,64,678.58
A,1,5,65,586.49
A,1,5,66,608.10
A,1,5,67,544.22
A,1,5,68,684.50
A,1,5,69,669.30
A,1,5,70,701.45
A,1,5,71,512.64
A,1,5,72,592.33
A,1,5,73,595.56
A,1,5,74,740.65
A,1,5,75,518.01
A,1,5,76,533.04
A,1,5,77,573.73
A,1,5,78,609.70
A,1,5,79,554.84
A,1,5,80,562.66
A,1,5,81,532.64
A,1,5,82,590.13
A,1,5,83,630.25
A,1,5,84,656.72
A,1,5,85,619.20
A,1,5,86,642.17
A,1,5,87,526.15
A,1,5,88,585.32
A,1,5,89,586.22
A,1,5,90,450.79
A,1,5,91,478.29
A,1,5,92,690.30
A,1,5,93,585.38
A,1,5,94,553.03
A,1,5,95,683.82
A,1,5,96,526.04
A,1,5,97,515.08
A,1,5,98,653.87
A,1,5,99,634.86
A,1,6,0,845.00
A,1,6,1,827.53
A,1,6,2,844.55
A,1,6,3,811.56
A,1,6,4,799.94
A,1,6,5,836.11
A,1,6,6,866.40
A,1,6,7,799.60
A,1,6,8,5437.61
A,1,6,9,841.54
A,1,6,10,855.16
A,1,6,11,658.15
A,1,6,12,699.78
A,1,6,13,735.23
A,1,6,14,706.16
A,1,6,15,693.80
A,1,6,16,555.79
A,1,6,17,701.48
A,1,6,18,632.18
A,1,6,19,632.33
