index,tensor,candidate,shape,ok,max_diff,mean_diff,n_mismatched,cand_min,cand_max,ref_min,ref_max,cand_uniq,ref_uniq
2909382,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,1.8355331420898438,77326,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
4089144,x_continuous,new,"(2, 15, 256, 256)",True,0.0,0.0,0,-18.42068099975586,0.0,-18.42068099975586,0.0,,
4089144,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,30.0,30.0,30.0,30.0,[30.0],[30.0]
4089144,x_static,new,"(6, 256, 256)",False,3121.107034921646,503.58727266523755,65536,0.0,3123.0,0.0,1.8929650783538818,,
4089144,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,,
4089144,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,[0.0],[0.0]
4089144,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,1.23418843348821,393216,-0.7534939646720886,0.0,-18.42068099975586,0.0,,
4089144,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,30.0,30.0,30.0,30.0,[30.0],[30.0]
4089144,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,1.5525160246443193,393216,-3.296881675720215,2.0,0.0,1.8929650783538818,,
4089144,x_hilda_prior,preprocessed,"(1, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,,
4089144,hilda_target,preprocessed,"(2, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,[0.0],[0.0]
2256248,x_continuous,new,"(2, 15, 256, 256)",True,1.9073486328125e-06,1.654962034081109e-09,0,-18.42068099975586,3.703245162963867,-18.42068099975586,3.703245162963867,,
2256248,x_kg,new,"(2, 1, 256, 256)",False,31.0,10.22296142578125,43224,0.0,30.0,7.0,31.0,"[0.0, 7.0, 9.0, 10.0, 15.0, 16.0, 27.0, 29.0, 30.0]","[7.0, 9.0, 10.0, 15.0, 16.0, 27.0, 29.0, 30.0, 31.0]"
2256248,x_static,new,"(6, 256, 256)",False,3819.843508720398,109.23742549021715,284981,-935.0,3822.0,-2.188699245452881,9.9710693359375,,
