candidate,index,tensor,base_shape,cand_shape,shape_match,dtype_match,n_elems,n_mismatch,max_abs_diff,exact_equal
single_256,74043,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_256,74043,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,2478,31.0,False
single_256,74043,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,220390,3.296881675720215,False
single_256,74043,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_256,74043,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_small,74043,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_small,74043,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,2478,31.0,False
merged_small,74043,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,70631,3.296881675720215,False
merged_small,74043,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_small,74043,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_big,74043,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_big,74043,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,2478,31.0,False
merged_big,74043,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,70631,3.296881675720215,False
merged_big,74043,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_big,74043,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
preprocessed_small,74043,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
preprocessed_small,74043,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,2478,31.0,False
preprocessed_small,74043,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,265203,3.296881675720215,False
preprocessed_small,74043,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
preprocessed_small,74043,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,True,131072,0,0.0,True
single_small,785197,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,3.3997700102627277,False
single_small,785197,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_small,785197,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,253152,3.0634140372276306,False
single_small,785197,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_small,785197,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_big,785197,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,3.3997700102627277,False
