var,chunk_file,size_bytes
dynamic/data,0.14.5.49,4125436
dynamic/data,0.3.25.25,71960
dynamic/data,0.4.32.28,81022
dynamic/data,0.4.30.69,71960
dynamic/data,0.14.10.48,7660818
dynamic/data,0.0.22.16,71960
dynamic/data,0.11.18.52,71960
dynamic/data,0.10.4.37,2452115
dynamic/data,0.3.7.67,71960
dynamic/data,0.12.27.69,71960
dynamic/data,0.1.20.11,71960
dynamic/data,0.7.11.54,7432794
dynamic/data,0.5.9.31,71960
dynamic/data,0.12.31.3,71960
dynamic/data,0.15.0.7,71960
dynamic/data,0.14.33.8,71960
dynamic/data,0.7.23.39,6922967
dynamic/data,0.8.11.7,71960
dynamic/data,0.4.5.49,4453729
dynamic/data,0.11.13.51,8370872
dynamic/data,0.5.17.18,71960
dynamic/data,0.4.1.20,658905
dynamic/data,0.15.14.59,994859
dynamic/data,0.8.34.31,71960
dynamic/data,0.5.23.0,72150
dynamic/data,0.5.0.6,71960
dynamic/data,0.12.34.68,71960
dynamic/data,0.11.20.41,8871747
dynamic/data,0.4.16.25,411906
dynamic/data,0.13.8.47,5895522
dynamic/data,0.9.32.46,71960
dynamic/data,0.5.3.30,1036139
dynamic/data,0.0.35.1,71980
dynamic/data,0.0.30.38,71960
dynamic/data,0.9.24.38,836454
dynamic/data,0.13.21.65,72022
dynamic/data,0.9.2.57,178849
dynamic/data,0.10.20.8,74829
dynamic/data,0.0.3.49,716190
dynamic/data,0.11.19.69,73262
dynamic/data,0.7.1.64,71960
dynamic/data,0.5.34.28,71960
dynamic/data,0.7.0.70,72152
dynamic/data,0.0.5.28,71960
dynamic/data,0.9.18.48,71960
dynamic/data,0.5.31.18,76264
dynamic/data,0.10.11.10,71960
dynamic/data,0.3.13.6,71960
dynamic/data,0.11.19.32,73694
dynamic/data,0.6.12.25,71960
dynamic/data,0.2.11.40,1776918
dynamic/data,0.9.20.32,71960
dynamic/data,0.5.16.12,71960
dynamic/data,0.15.9.14,6752786
dynamic/data,0.4.32.44,71960
dynamic/data,0.2.22.30,71960
dynamic/data,0.12.13.46,3263540
dynamic/data,0.15.4.32,1031794
dynamic/data,0.5.32.11,79216
dynamic/data,0.3.23.1,71960
dynamic/data,0.15.30.24,73627
dynamic/data,0.14.3.10,288016
dynamic/data,0.7.35.40,71980
dynamic/data,0.13.5.34,210356
dynamic/data,0.15.1.62,71960
dynamic/data,0.4.10.58,5194334
dynamic/data,0.0.29.34,71960
dynamic/data,0.7.32.6,94330
dynamic/data,0.15.13.39,396181
dynamic/data,0.3.24.70,74744
dynamic/data,0.6.23.37,71960
dynamic/data,0.14.16.14,71960
dynamic/data,0.14.18.6,71960
dynamic/data,0.0.26.68,3598714
dynamic/data,0.12.11.24,71960
dynamic/data,0.3.21.39,6501401
dynamic/data,0.14.33.19,76046
dynamic/data,0.2.31.5,71960
dynamic/data,0.15.11.18,6214292
dynamic/data,0.9.2.1,71960
