store,worker,sample,wall_ms
A,8,72,403.69
A,8,73,292.18
A,8,74,189.67
A,8,75,248.55
A,8,76,217.67
A,8,77,215.71
A,8,78,206.57
A,8,79,379.93
A,8,80,323.42
A,8,81,357.32
A,8,82,329.89
A,8,83,383.96
A,8,84,281.45
A,8,85,250.69
A,8,86,275.57
A,8,87,175.73
A,8,88,329.72
A,8,89,259.53
A,8,90,284.02
A,8,91,334.20
A,8,92,289.25
A,8,93,243.18
A,8,94,263.59
A,8,95,358.95
A,8,96,299.87
A,8,97,258.14
A,8,98,224.67
A,8,99,248.69
A,9,0,305.00
A,9,1,458.03
A,9,2,355.86
A,9,3,432.42
A,9,4,469.87
A,9,5,381.54
A,9,6,522.66
A,9,7,398.00
A,9,8,444.27
A,9,9,358.27
A,9,10,453.11
A,9,11,327.29
A,9,12,424.84
A,9,13,410.74
A,9,14,223.68
A,9,15,347.94
A,9,16,392.10
A,9,17,267.94
A,9,18,363.96
A,9,19,317.48
A,9,20,341.04
A,9,21,378.09
A,9,22,374.10
A,9,23,286.64
A,9,24,402.37
A,9,25,318.58
A,9,26,354.37
A,9,27,463.03
A,9,28,377.10
A,9,29,290.66
A,9,30,514.80
A,9,31,402.49
A,9,32,360.91
A,9,33,367.11
A,9,34,370.76
A,9,35,338.35
A,9,36,379.89
A,9,37,307.21
A,9,38,402.91
A,9,39,236.41
A,9,40,362.34
A,9,41,406.74
A,9,42,443.86
A,9,43,300.90
A,9,44,2780.66
A,9,45,309.83
A,9,46,270.26
A,9,47,308.68
A,9,48,335.40
A,9,49,986.01
A,9,50,406.77
A,9,51,284.41
A,9,52,407.76
A,9,53,420.94
A,9,54,304.16
A,9,55,377.34
A,9,56,328.08
A,9,57,213.91
A,9,58,469.79
A,9,59,311.58
A,9,60,249.90
A,9,61,310.18
A,9,62,236.14
A,9,63,405.71
A,9,64,292.55
A,9,65,358.07
A,9,66,402.05
A,9,67,195.18
A,9,68,253.68
A,9,69,209.67
A,9,70,330.25
A,9,71,413.56
A,9,72,230.41
A,9,73,228.72
A,9,74,229.34
A,9,75,489.93
A,9,76,199.42
A,9,77,356.00
A,9,78,245.76
A,9,79,314.03
A,9,80,248.92
A,9,81,324.26
A,9,82,343.26
A,9,83,304.35
A,9,84,267.80
A,9,85,288.18
A,9,86,312.94
A,9,87,302.76
A,9,88,291.57
A,9,89,215.34
A,9,90,302.79
A,9,91,308.78
A,9,92,321.33
A,9,93,310.33
A,9,94,328.79
A,9,95,238.11
A,9,96,1610.08
A,9,97,339.92
A,9,98,230.67
A,9,99,344.10
A,10,0,414.42
A,10,1,347.40
A,10,2,449.96
A,10,3,416.42
A,10,4,387.61
A,10,5,332.34
A,10,6,386.21
A,10,7,412.47
A,10,8,376.18
A,10,9,295.23
A,10,10,417.72
A,10,11,399.46
A,10,12,159.27
A,10,13,429.51
A,10,14,360.83
A,10,15,417.04
A,10,16,432.64
A,10,17,388.84
A,10,18,425.75
A,10,19,465.13
A,10,20,414.38
A,10,21,475.20
A,10,22,466.81
A,10,23,373.71
A,10,24,530.42
A,10,25,415.20
A,10,26,224.09
A,10,27,385.46
A,10,28,298.22
A,10,29,371.48
A,10,30,278.41
A,10,31,311.49
A,10,32,374.75
A,10,33,406.68
A,10,34,1626.44
A,10,35,2201.10
A,10,36,836.93
A,10,37,380.82
A,10,38,841.56
A,10,39,303.12
A,10,40,374.97
A,10,41,208.93
A,10,42,286.75
A,10,43,180.53
A,10,44,231.41
A,10,45,347.03
A,10,46,298.22
A,10,47,294.23
A,10,48,365.81
A,10,49,413.46
A,10,50,318.09
A,10,51,310.30
A,10,52,312.82
A,10,53,269.19
A,10,54,218.35
A,10,55,268.83
A,10,56,247.35
A,10,57,336.85
A,10,58,290.36
A,10,59,334.47
A,10,60,274.64
A,10,61,224.84
A,10,62,352.09
A,10,63,220.95
A,10,64,409.11
A,10,65,408.77
A,10,66,323.27
A,10,67,200.73
A,10,68,283.39
A,10,69,258.52
A,10,70,250.76
A,10,71,305.95
A,10,72,241.80
A,10,73,224.57
A,10,74,337.37
A,10,75,303.27
A,10,76,253.10
A,10,77,195.46
A,10,78,316.43
A,10,79,200.51
A,10,80,202.86
A,10,81,387.95
A,10,82,188.98
A,10,83,235.53
A,10,84,279.17
A,10,85,338.95
A,10,86,367.03
A,10,87,273.78
A,10,88,287.55
A,10,89,322.99
A,10,90,404.73
A,10,91,276.45
A,10,92,251.16
A,10,93,196.04
A,10,94,253.12
A,10,95,334.87
A,10,96,270.85
A,10,97,220.33
A,10,98,370.27
A,10,99,219.59
A,11,0,458.28
A,11,1,431.59
A,11,2,372.99
A,11,3,462.44
A,11,4,465.62
A,11,5,416.04
A,11,6,471.05
A,11,7,389.65
A,11,8,408.42
A,11,9,323.18
A,11,10,424.05
A,11,11,326.86
A,11,12,393.18
A,11,13,272.61
A,11,14,347.78
A,11,15,375.01
A,11,16,479.70
A,11,17,415.59
A,11,18,362.34
A,11,19,346.81
A,11,20,444.61
A,11,21,352.70
A,11,22,383.23
A,11,23,348.41
A,11,24,344.77
A,11,25,423.74
A,11,26,386.18
A,11,27,423.88
A,11,28,384.05
A,11,29,404.84
A,11,30,198.47
A,11,31,222.11
A,11,32,305.68
A,11,33,291.35
A,11,34,253.30
A,11,35,280.51
A,11,36,424.61
A,11,37,312.30
A,11,38,310.04
A,11,39,365.02
A,11,40,438.51
A,11,41,324.53
A,11,42,347.73
A,11,43,388.43
A,11,44,365.09
A,11,45,258.45
A,11,46,2253.31
A,11,47,309.49
A,11,48,404.13
A,11,49,235.73
A,11,50,338.46
A,11,51,439.11
A,11,52,382.13
A,11,53,394.57
A,11,54,348.76
A,11,55,303.97
A,11,56,355.12
A,11,57,255.67
A,11,58,287.96
A,11,59,300.21
A,11,60,245.35
A,11,61,321.39
A,11,62,276.52
A,11,63,262.86
A,11,64,346.30
A,11,65,303.68
A,11,66,211.26
A,11,67,364.25
A,11,68,283.81
A,11,69,256.56
A,11,70,231.84
A,11,71,283.64
A,11,72,354.91
A,11,73,395.76
A,11,74,355.67
A,11,75,316.42
A,11,76,206.59
A,11,77,252.60
A,11,78,282.91
A,11,79,276.00
A,11,80,297.44
A,11,81,373.71
A,11,82,193.48
A,11,83,236.86
A,11,84,272.24
A,11,85,281.50
A,11,86,333.26
A,11,87,398.19
A,11,88,261.42
A,11,89,176.94
A,11,90,166.79
A,11,91,243.66
A,11,92,266.67
A,11,93,300.08
A,11,94,290.62
A,11,95,381.34
A,11,96,331.23
A,11,97,244.31
A,11,98,224.05
A,11,99,293.45
B,0,0,6.28
B,0,1,31.02
B,0,2,52.05
B,0,3,21.37
B,0,4,22.30
B,0,5,5.28
B,0,6,5.04
B,0,7,9.01
B,0,8,42.06
B,0,9,11.71
B,0,10,38.49
B,0,11,31.53
B,0,12,4.35
B,0,13,21.99
B,0,14,34.70
B,0,15,9.38
B,0,16,16.59
B,0,17,8.54
B,0,18,31.33
B,0,19,2.56
B,0,20,2.11
B,0,21,2.70
B,0,22,5.97
B,0,23,4.91
B,0,24,40.40
B,0,25,17.07
B,0,26,19.29
B,0,27,27.92
B,0,28,15.70
B,0,29,9.53
B,0,30,8.72
B,0,31,10.75
B,0,32,25.38
B,0,33,7.11
B,0,34,6.32
B,0,35,5.39
B,0,36,3.18
B,0,37,35.76
B,0,38,10.39
B,0,39,9.66
B,0,40,9.73
B,0,41,19.31
B,0,42,6.36
B,0,43,3.32
B,0,44,2.92
B,0,45,3.76
B,0,46,3.65
B,0,47,4.92
B,0,48,1.98
