dataset,sample_idx,var,n_chunks
single,34,c4per,4
single,34,urban,4
single,34,c4ann,4
single,34,c3per,4
single,34,secmb,4
single,34,secma,4
single,34,secdn,4
single,34,c3nfx,4
single,34,c3ann,4
single,34,number_of_people,4
single,34,kg_class,4
single,34,weighted_PCT_SAND,2
single,34,weighted_PCT_CLAY,2
single,34,weighted_ORGANIC,2
single,34,SLOPE,2
single,34,elevation,2
single,34,ASPECT,2
single,34,LULC_states,6
single,35,secdf,4
single,35,range,4
single,35,primn,4
single,35,pastr,4
single,35,c4per,4
single,35,c4ann,4
single,35,primf,4
single,35,c3per,4
single,35,urban,4
single,35,secmb,4
single,35,secma,4
single,35,secdn,4
single,35,c3nfx,4
single,35,c3ann,4
single,35,number_of_people,4
single,35,kg_class,4
single,35,weighted_PCT_SAND,2
single,35,weighted_PCT_CLAY,2
single,35,weighted_ORGANIC,2
single,35,elevation,2
single,35,SLOPE,2
single,35,ASPECT,2
single,35,LULC_states,6
single,36,secdf,8
single,36,range,8
single,36,primn,8
single,36,primf,8
single,36,c4per,8
single,36,pastr,8
single,36,c4ann,8
single,36,urban,8
single,36,c3per,8
single,36,secmb,8
single,36,secdn,8
single,36,c3nfx,8
single,36,secma,8
single,36,c3ann,8
single,36,number_of_people,8
single,36,kg_class,8
single,36,weighted_ORGANIC,4
single,36,SLOPE,4
single,36,weighted_PCT_CLAY,4
single,36,elevation,4
single,36,weighted_PCT_SAND,4
single,36,ASPECT,4
single,36,LULC_states,12
single,37,secdf,8
single,37,range,8
single,37,primn,8
single,37,primf,8
single,37,pastr,8
single,37,c4per,8
single,37,c4ann,8
single,37,c3per,8
single,37,secmb,8
single,37,urban,8
single,37,secma,8
single,37,c3nfx,8
single,37,c3ann,8
single,37,secdn,8
single,37,number_of_people,8
single,37,kg_class,8
single,37,weighted_PCT_SAND,4
single,37,weighted_PCT_CLAY,4
single,37,weighted_ORGANIC,4
single,37,SLOPE,4
single,37,elevation,4
single,37,ASPECT,4
single,37,LULC_states,12
single,38,secdf,2
single,38,primf,2
single,38,primn,2
single,38,range,2
single,38,pastr,2
single,38,c4per,2
single,38,c3per,2
single,38,urban,2
single,38,c4ann,2
single,38,secma,2
single,38,secmb,2
single,38,c3nfx,2
single,38,secdn,2
single,38,c3ann,2
single,38,number_of_people,2
single,38,kg_class,2
single,38,weighted_PCT_SAND,1
single,38,weighted_PCT_CLAY,1
single,38,weighted_ORGANIC,1
single,38,SLOPE,1
single,38,elevation,1
single,38,ASPECT,1
single,38,LULC_states,3
single,39,secdf,4
single,39,range,4
single,39,primf,4
single,39,primn,4
single,39,c4per,4
single,39,pastr,4
single,39,c4ann,4
single,39,c3per,4
single,39,urban,4
single,39,secmb,4
single,39,secma,4
single,39,c3nfx,4
single,39,secdn,4
single,39,c3ann,4
single,39,number_of_people,4
single,39,kg_class,4
single,39,weighted_ORGANIC,2
single,39,weighted_PCT_SAND,2
single,39,weighted_PCT_CLAY,2
single,39,SLOPE,2
single,39,elevation,2
single,39,ASPECT,2
single,39,LULC_states,6
single,40,secdf,4
single,40,range,4
single,40,primn,4
single,40,primf,4
single,40,c4per,4
single,40,pastr,4
single,40,c4ann,4
single,40,c3per,4
single,40,urban,4
single,40,secmb,4
single,40,secma,4
single,40,secdn,4
single,40,c3nfx,4
single,40,c3ann,4
single,40,number_of_people,4
single,40,kg_class,4
single,40,weighted_PCT_SAND,2
single,40,weighted_PCT_CLAY,2
single,40,weighted_ORGANIC,2
single,40,SLOPE,2
single,40,elevation,2
single,40,ASPECT,2
single,40,LULC_states,6
single,41,secdf,4
single,41,range,4
single,41,primn,4
single,41,primf,4
single,41,c4ann,4
single,41,pastr,4
single,41,c4per,4
single,41,c3per,4
single,41,urban,4
single,41,secmb,4
single,41,secma,4
single,41,c3nfx,4
single,41,secdn,4
single,41,c3ann,4
single,41,number_of_people,4
single,41,kg_class,4
single,41,weighted_PCT_SAND,2
single,41,weighted_PCT_CLAY,2
single,41,weighted_ORGANIC,2
single,41,SLOPE,2
single,41,elevation,2
single,41,ASPECT,2
single,41,LULC_states,6
single,42,secdf,8
