pool_size,file_size,file_index,wall_us
10000,1048576,4772,585.07
10000,102400,1123,136.07
10000,1048576,3653,1744.15
10000,10240,8551,120.22
10000,10240,8796,123.63
1000,10240,967,114.95
10000,102400,1977,142.31
10000,102400,2872,123.89
10000,10240,4134,114.86
10000,10240,2204,115.79
10000,10240,6566,101.95
10000,10240,6858,106.82
10000,102400,1826,124.97
10000,1048576,5872,722.75
10000,102400,3484,129.14
10000,102400,2374,120.50
10000,102400,7243,120.13
10000,1048576,8434,799.88
10000,10240,6635,114.98
10000,102400,2552,127.58
1000,10240,173,107.84
1000,10240,39,113.50
10000,10240,437,105.44
10000,102400,6952,130.96
10000,102400,2214,125.88
10000,102400,861,119.40
10000,10240,271,108.35
10000,10240,5265,102.71
10000,10240,4967,101.88
10000,102400,4823,119.87
10000,10240,6988,108.35
10000,10240,7257,112.52
1000,10485760,42,4141.07
1000,10240,830,297.54
10000,1048576,4211,694.55
10000,10240,4305,111.03
10000,102400,9958,118.99
10000,102400,6357,125.98
1000,102400,477,139.41
10000,10240,2653,107.14
10000,102400,8926,124.42
1000,102400,115,133.59
10000,1048576,99,725.77
10000,102400,898,133.88
10000,10240,2238,109.01
10000,102400,8797,107.03
10000,1048576,3532,710.91
1000,1048576,348,803.93
10000,10240,1658,119.87
10000,102400,5264,121.69
10000,102400,1063,121.32
10000,10240,7563,105.20
10000,10240,1586,107.60
10000,102400,3948,120.19
1000,1048576,171,551.80
10000,10240,4591,110.48
1000,102400,555,111.23
10000,1048576,5728,740.50
10000,10240,3474,123.52
10000,10240,7887,109.23
10000,10240,9411,110.24
100,1048576,96,790.42
10000,10240,8424,116.03
10000,10240,6394,102.08
1000,102400,793,135.98
1000,1048576,116,715.04
1000,1048576,344,772.39
10000,102400,5520,141.56
10000,1048576,5599,784.52
10000,1048576,4062,762.20
10000,10240,7139,125.94
10000,102400,29,121.28
10000,10240,4062,104.88
10000,102400,376,122.15
10000,102400,2976,116.17
10000,1048576,6899,682.23
10000,10240,9373,132.44
10000,10240,3620,112.39
10000,10240,7513,108.78
1000,10240,983,110.16
10000,102400,3203,126.79
10000,1048576,3505,732.83
